target,feature_group,fold,model,candidate,rmse,mae,directional_accuracy,rows
PTBA.JK,E3,fold2,zero_return_naive,,0.021932072031029953,0.016053328058668898,0.11740890688259109,247
PTBA.JK,E3,fold2,xgboost,depth2_lr005,0.02227185095470472,0.016405579945358538,0.4493927125506073,247
PTBA.JK,E3,fold2,xgboost,depth3_lr003,0.022490741015924753,0.016532004560847628,0.42105263157894735,247
PTBA.JK,E3,fold3,zero_return_naive,,0.02301135715103642,0.01592736084936993,0.07317073170731707,246
PTBA.JK,E3,fold3,xgboost,depth2_lr005,0.023769636838277507,0.016345764309791403,0.44308943089430897,246
PTBA.JK,E3,fold3,xgboost,depth3_lr003,0.02395958917412411,0.016561697955307778,0.45934959349593496,246
PTBA.JK,E3,fold1,gru,lookback5_hidden16,0.035787754037702305,0.024501154199242592,0.5,242
PTBA.JK,E3,fold2,gru,lookback5_hidden16,0.021889703956219954,0.016112453952527826,0.4291497975708502,247
PTBA.JK,E3,fold3,gru,lookback5_hidden16,0.02299951161453977,0.015924037820082233,0.4796747967479675,246
PTBA.JK,E3,fold1,gru,lookback10_hidden32,0.03528917295971227,0.024232132208566296,0.5289256198347108,242
PTBA.JK,E3,fold2,gru,lookback10_hidden32,0.02204866524729323,0.016205089963993308,0.4291497975708502,247
PTBA.JK,E3,fold3,gru,lookback10_hidden32,0.02297279170484973,0.015933688827724068,0.5040650406504065,246
PTBA.JK,E3,fold1,transformer,lookback5_d16_heads2_ff32,0.03579571859989773,0.024374310019828208,0.512396694214876,242
PTBA.JK,E3,fold2,transformer,lookback5_d16_heads2_ff32,0.02205897677933377,0.016266082720793332,0.42105263157894735,247
PTBA.JK,E3,fold3,transformer,lookback5_d16_heads2_ff32,0.022974027141168685,0.015931880290854752,0.4959349593495935,246
PTBA.JK,E3,fold1,transformer,lookback10_d32_heads4_ff64,0.036196187937013624,0.024381328304394434,0.49173553719008267,242
PTBA.JK,E3,fold2,transformer,lookback10_d32_heads4_ff64,0.022565589700031315,0.01650601772281345,0.44129554655870445,247
PTBA.JK,E3,fold3,transformer,lookback10_d32_heads4_ff64,0.02308794885404245,0.015959868254187343,0.5,246
ITMG.JK,E0,fold1,zero_return_naive,,0.03348721492052905,0.023380197011226237,0.06198347107438017,242
ITMG.JK,E0,fold1,xgboost,depth2_lr005,0.03346522760555227,0.024193251081407113,0.45454545454545453,242
ITMG.JK,E0,fold1,xgboost,depth3_lr003,0.033639510946142294,0.0243022668249743,0.4628099173553719,242
ITMG.JK,E0,fold2,zero_return_naive,,0.0288905492071153,0.021081356962732858,0.024291497975708502,247
ITMG.JK,E0,fold2,xgboost,depth2_lr005,0.02991786466270257,0.021767362175264184,0.4898785425101215,247
ITMG.JK,E0,fold2,xgboost,depth3_lr003,0.03011420727923589,0.021979748438328964,0.47368421052631576,247
ITMG.JK,E0,fold3,zero_return_naive,,0.02569605960013185,0.01865717503035267,0.036585365853658534,246
ITMG.JK,E0,fold3,xgboost,depth2_lr005,0.02566353243189813,0.018671853386366438,0.4796747967479675,246
ITMG.JK,E0,fold3,xgboost,depth3_lr003,0.025811115477992298,0.018770225640815066,0.5040650406504065,246
ITMG.JK,E0,fold1,gru,lookback5_hidden16,0.03325636469942891,0.02335277924574873,0.4834710743801653,242
ITMG.JK,E0,fold2,gru,lookback5_hidden16,0.028883579172620952,0.02115329811118566,0.48582995951417,247
ITMG.JK,E0,fold3,gru,lookback5_hidden16,0.02556278093105722,0.01866045758379926,0.5203252032520326,246
ITMG.JK,E0,fold1,gru,lookback10_hidden32,0.03311895728992903,0.023252996939093967,0.49586776859504134,242
ITMG.JK,E0,fold2,gru,lookback10_hidden32,0.028853677239578518,0.0211453767576319,0.4817813765182186,247
ITMG.JK,E0,fold3,gru,lookback10_hidden32,0.025564316992852564,0.01860345022803044,0.532520325203252,246
ITMG.JK,E0,fold1,transformer,lookback5_d16_heads2_ff32,0.03324134496350782,0.023393708254279923,0.4793388429752066,242
ITMG.JK,E0,fold2,transformer,lookback5_d16_heads2_ff32,0.028973020130640938,0.021323240118436816,0.4777327935222672,247
ITMG.JK,E0,fold3,transformer,lookback5_d16_heads2_ff32,0.02551961269536596,0.018612583456286493,0.532520325203252,246
ITMG.JK,E0,fold1,transformer,lookback10_d32_heads4_ff64,0.033430515273023924,0.02355237335591069,0.45867768595041325,242
ITMG.JK,E0,fold2,transformer,lookback10_d32_heads4_ff64,0.029103187654097817,0.02124377270511951,0.5182186234817814,247
ITMG.JK,E0,fold3,transformer,lookback10_d32_heads4_ff64,0.02575633763435292,0.01878735976155499,0.5365853658536586,246
ITMG.JK,E1,fold1,zero_return_naive,,0.03348721492052905,0.023380197011226237,0.06198347107438017,242
ITMG.JK,E1,fold1,xgboost,depth2_lr005,0.03358825656011973,0.024294027930653026,0.47520661157024796,242
ITMG.JK,E1,fold1,xgboost,depth3_lr003,0.033529301978666284,0.024543646108486604,0.5289256198347108,242
ITMG.JK,E1,fold2,zero_return_naive,,0.0288905492071153,0.021081356962732858,0.024291497975708502,247
ITMG.JK,E1,fold2,xgboost,depth2_lr005,0.029529114029528753,0.02158388323392596,0.47368421052631576,247
ITMG.JK,E1,fold2,xgboost,depth3_lr003,0.029541358750469673,0.021645304648398443,0.46558704453441296,247
ITMG.JK,E1,fold3,zero_return_naive,,0.02569605960013185,0.01865717503035267,0.036585365853658534,246
ITMG.JK,E1,fold3,xgboost,depth2_lr005,0.025548964541082818,0.01861200137565891,0.508130081300813,246
ITMG.JK,E1,fold3,xgboost,depth3_lr003,0.025526297069800814,0.018546852457301637,0.524390243902439,246
